account_id,type,amount_credit,trans_count,loan_id,amount_loan,duration,payments,status_loan,year,month,day,fulldate,location,purpose_loan,balance_last,diff_date
A00000126,Credit,1608416.4,140,,,,,,,,,,,,50359.1,1895
A00000127,Credit,4118.6,60,,,,,,,,,,,,17545.8,1793
A00000128,Credit,444791.7,208,,,,,,,,,,,,74713.1,2141
A00000129,Credit,1899.4,16,,,,,,,,,,,,19863.3,456
A00000130,Credit,2426.6,20,,,,,,,,,,,,29171.2,687
A00000131,Credit,496062.2,90,,,,,,,,,,,,36355.1,1297
A00000132,Credit,1285255.7,79,L00004996,88440.0,12.0,7370.0,A,2016.0,11.0,6.0,2016-11-06,1.0,home,34556.6,964
A00000133,Credit,694287.3,44,,,,,,,,,,,,46582.3,446
A00000134,Credit,140633.3,27,,,,,,,,,,,,45530.8,386
A00000135,Credit,408093.4,161,,,,,,,,,,,,73702.7,2025
A00000136,Credit,3138.7,29,,,,,,,,,,,,27095.2,961
A00000137,Credit,736250.3,59,,,,,,,,,,,,49568.9,895
A00000138,Credit,37600.0,15,,,,,,,,,,,,21200.0,1170
A00000139,Credit,5914.6,20,,,,,,,,,,,,54229.3,595
A00000140,Credit,190393.4,42,,,,,,,,,,,,47564.1,919
A00000141,Credit,6547.4,35,,,,,,,,,,,,54877.8,1030
A00000142,Credit,6833.4,67,,,,,,,,,,,,22244.3,2145
A00000143,Credit,1976.9,22,,,,,,,,,,,,22772.9,764
A00000144,Credit,808867.2,53,,,,,,,,,,,,84474.9,637
A00000145,Credit,360546.5,94,,,,,,,,,,,,62413.4,1093
A00000146,Credit,6598.8,65,,,,,,,,,,,,38813.8,1946
A00000148,Credit,5111.1,63,,,,,,,,,,,,27205.8,2019
A00000149,Credit,88417.9,44,,,,,,,,,,,,53921.8,410
A00000150,Credit,282080.8,130,,,,,,,,,,,,19767.4,1386
A00000151,Credit,373456.0,147,,,,,,,,,,,,24334.3,1942
A00000152,Credit,210060.4,76,,,,,,,,,,,,18634.1,993
A00000153,Credit,14450.4,66,,,,,,,,,,,,22687.7,1929
A00000154,Credit,843234.7,111,,,,,,,,,,,,92359.8,1654
A00000155,Credit,241991.1,95,,,,,,,,,,,,19865.1,1150
A00000156,Credit,1632.6,11,,,,,,,,,,,,16314.9,435
A00000157,Credit,1910.0,19,,,,,,,,,,,,33957.1,643
A00000158,Credit,1211329.8,91,,,,,,,,,,,,17265.4,1387
A00000159,Credit,537470.3,46,,,,,,,,,,,,94729.9,688
A00000160,Credit,948345.1,152,,,,,,,,,,,,48937.5,1944
A00000161,Credit,5267.9,55,,,,,,,,,,,,14836.9,1641
A00000162,Credit,6508.4,61,,,,,,,,,,,,21628.6,1954
A00000163,Credit,8471.1,70,,,,,,,,,,,,37538.9,2164
A00000164,Credit,157152.5,32,,,,,,,,,,,,32852.3,810
A00000165,Credit,10038.3,68,,,,,,,,,,,,61584.7,2039
A00000166,Credit,3155.4,25,,,,,,,,,,,,21661.5,863
A00000167,Credit,1402463.3,83,,,,,,,,,,,,49339.2,1039
A00000168,Credit,4973.6,65,,,,,,,,,,,,15781.7,2074
A00000169,Credit,560931.7,82,,,,,,,,,,,,67185.0,1190
A00000170,Credit,568675.2,62,,,,,,,,,,,,56110.2,912
A00000171,Credit,2752.7,32,,,,,,,,,,,,15593.7,936
A00000172,Credit,1573896.4,131,,,,,,,,,,,,64714.5,1949
A00000173,Credit,1322727.1,156,L00005002,104808.0,12.0,8734.0,A,2014.0,5.0,31.0,2014-05-31,1.0,home,64005.1,1861
A00000174,Credit,2619.0,29,,,,,,,,,,,,20982.2,848
A00000176,Credit,1481270.6,82,L00005005,27456.0,12.0,2288.0,A,2017.0,4.0,10.0,2017-04-10,1.0,debt_consolidation,71821.5,871
A00000177,Credit,325517.2,32,,,,,,,,,,,,62371.1,461
A00000178,Credit,1763.6,17,,,,,,,,,,,,18081.7,481
A00000179,Credit,643319.3,38,,,,,,,,,,,,44248.3,465
A00000180,Credit,125092.7,73,,,,,,,,,,,,64308.6,1843
A00000181,Credit,371136.7,65,,,,,,,,,,,,32491.8,933
A00000182,Credit,19700.0,6,,,,,,,,,,,,10000.0,510
A00000183,Credit,970741.6,125,,,,,,,,,,,,45614.3,1845
A00000184,Credit,736773.8,70,,,,,,,,,,,,67050.3,1044
A00000185,Credit,379962.7,37,,,,,,,,,,,,65609.0,545
A00000186,Credit,2603771.8,172,,,,,,,,,,,,74437.6,1981
A00000187,Credit,5071.7,66,,,,,,,,,,,,25228.1,2104
A00000188,Credit,1458587.7,139,,,,,,,,,,,,100009.6,2081
A00000189,Credit,467112.4,42,,,,,,,,,,,,71269.3,624
A00000190,Credit,897883.5,97,,,,,,,,,,,,69474.4,1400
A00000191,Credit,5588.4,22,,,,,,,,,,,,93241.7,654
A00000192,Credit,7262.1,68,,,,,,,,,,,,29946.5,2183
A00000193,Credit,290761.2,52,,,,,,,,,,,,25203.7,739
A00000194,Credit,40865.4,43,,,,,,,,,,,,23031.9,882
A00000195,Credit,357993.3,46,,,,,,,,,,,,49425.2,672
A00000196,Credit,917861.7,137,,,,,,,,,,,,73932.7,1873
A00000197,Credit,1666326.2,144,,,,,,,,,,,,52072.5,2135
A00000198,Credit,6141.1,59,,,,,,,,,,,,22504.4,1893
A00000199,Credit,2632.2,23,,,,,,,,,,,,26869.7,796
A00000200,Credit,570721.2,114,,,,,,,,,,,,98905.5,1642
A00000201,Credit,879616.6,104,,,,,,,,,,,,43995.2,1520
A00000204,Credit,2836.2,32,,,,,,,,,,,,25127.7,1083
A00000205,Credit,133663.1,37,,,,,,,,,,,,45267.0,449
A00000206,Credit,295752.2,119,,,,,,,,,,,,35408.0,1363
A00000207,Credit,422618.5,155,,,,,,,,,,,,26092.2,1985
A00000208,Credit,551438.1,71,,,,,,,,,,,,19740.1,1009
A00000209,Credit,44450.6,40,,,,,,,,,,,,45680.6,767
A00000210,Credit,613838.9,69,,,,,,,,,,,,30197.9,1019
A00000211,Credit,742148.0,46,,,,,,,,,,,,68537.4,530
A00000212,Credit,38827.4,75,,,,,,,,,,,,95412.1,2171
A00000213,Credit,1064402.8,81,,,,,,,,,,,,36591.6,1220
A00000214,Credit,1429.6,18,,,,,,,,,,,,15033.0,662
A00000215,Credit,1533.6,10,,,,,,,,,,,,15083.9,401
A00000216,Credit,6149.7,53,,,,,,,,,,,,20686.5,1690
A00000217,Credit,575776.9,97,,,,,,,,,,,,24285.4,1441
A00000218,Credit,1822782.4,104,,,,,,,,,,,,25468.7,1059
A00000219,Credit,767863.6,80,,,,,,,,,,,,47647.0,1212
A00000220,Credit,5482.7,65,,,,,,,,,,,,28520.4,2092
A00000221,Credit,617632.7,54,,,,,,,,,,,,58513.9,792
A00000222,Credit,17085.9,71,,,,,,,,,,,,59952.5,2117
A00000223,Credit,326757.3,64,,,,,,,,,,,,24979.7,1297
A00000224,Credit,2761.0,24,,,,,,,,,,,,19354.2,795
A00000225,Credit,563498.6,179,,,,,,,,,,,,92940.2,1982
A00000226,Credit,488795.7,55,L00005015,109344.0,12.0,9112.0,C,2018.0,7.0,12.0,2018-07-12,1.0,home,44471.3,676
A00000227,Credit,10205.8,46,,,,,,,,,,,,85194.5,1374
A00000228,Credit,1491920.1,129,,,,,,,,,,,,65982.6,1920
A00000229,Credit,2493.9,20,,,,,,,,,,,,24212.4,572
A00000230,Credit,655356.5,70,,,,,,,,,,,,11813.2,1039
A00000231,Credit,3742.8,46,,,,,,,,,,,,17145.6,1368
A00000232,Credit,330633.7,28,,,,,,,,,,,,81752.8,397
A00000234,Credit,4957.5,62,,,,,,,,,,,,15951.3,1995
A00000235,Credit,6041.7,64,,,,,,,,,,,,16332.7,1912
A00000236,Credit,39700.0,11,,,,,,,,,,,,13000.0,990
A00000237,Credit,4097.7,54,,,,,,,,,,,,14668.1,1742
A00000238,Credit,4781.6,61,,,,,,,,,,,,18987.6,1964
A00000239,Credit,2530556.8,184,,,,,,,,,,,,34974.3,2131
A00000240,Credit,500447.8,42,,,,,,,,,,,,17632.6,612
A00000241,Credit,42974.2,42,,,,,,,,,,,,39908.8,823
A00000242,Credit,717800.3,58,,,,,,,,,,,,53110.5,854
A00000243,Credit,2470282.0,154,,,,,,,,,,,,15153.4,1864
A00000244,Credit,93762.0,105,,,,,,,,,,,,52094.5,2152
A00000245,Credit,1617425.2,148,,,,,,,,,,,,44669.0,1862
A00000246,Credit,1232.1,11,,,,,,,,,,,,17211.7,376
A00000248,Credit,7585.7,46,,,,,,,,,,,,35332.8,1369
A00000249,Credit,489385.8,52,,,,,,,,,,,,19939.5,758
A00000250,Credit,149540.1,46,,,,,,,,,,,,48645.7,600
A00000251,Credit,363538.1,74,,,,,,,,,,,,35458.3,999
A00000252,Credit,4183.6,21,,,,,,,,,,,,50468.1,735
A00000253,Credit,913983.9,75,,,,,,,,,,,,106814.9,1122
A00000255,Credit,7671.5,27,,,,,,,,,,,,101533.5,788
A00000256,Credit,900496.3,87,,,,,,,,,,,,17041.3,1327
A00000257,Credit,819586.7,83,,,,,,,,,,,,8843.6,1133
A00000258,Credit,2701.1,19,,,,,,,,,,,,24649.3,540
A00000259,Credit,5772.7,60,,,,,,,,,,,,15943.8,1890
A00000260,Credit,424055.6,92,,,,,,,,,,,,40815.8,1174
A00000261,Credit,13476.4,30,,,,,,,,,,,,21485.4,815
A00000262,Credit,40900.0,11,,,,,,,,,,,,22600.0,1020
A00000263,Credit,860922.0,65,,,,,,,,,,,,50906.8,727
A00000264,Credit,265871.5,92,,,,,,,,,,,,35403.6,1056
A00000265,Credit,2653.1,31,,,,,,,,,,,,20758.0,909
A00000266,Credit,18321.2,58,,,,,,,,,,,,75022.5,1695
A00000267,Credit,3612.0,41,,,,,,,,,,,,16940.3,1345
A00000268,Credit,901150.8,65,,,,,,,,,,,,37866.1,946
A00000269,Credit,52566.0,44,,,,,,,,,,,,42634.1,853
A00000270,Credit,1228044.0,96,,,,,,,,,,,,89226.8,1438
A00000271,Credit,5363.4,30,,,,,,,,,,,,58987.0,870
A00000272,Credit,569448.5,53,,,,,,,,,,,,36707.7,799
A00000273,Credit,104629.5,97,,,,,,,,,,,,40490.2,1999
A00000274,Credit,1434950.4,132,,,,,,,,,,,,42734.8,1959
A00000275,Credit,3260.0,37,,,,,,,,,,,,18097.2,1094
A00000276,Credit,3720.3,14,L00005027,160920.0,36.0,4470.0,C,2018.0,12.0,2.0,2018-12-02,1.0,home,59375.9,388
A00000277,Credit,1668478.2,137,,,,,,,,,,,,90297.0,1705
A00000278,Credit,756286.9,67,,,,,,,,,,,,96842.2,997
A00000279,Credit,5781.6,65,,,,,,,,,,,,30761.4,2087
A00000280,Credit,979304.4,159,,,,,,,,,,,,65518.3,2168
A00000281,Credit,356681.2,70,,,,,,,,,,,,60458.5,795
A00000282,Credit,437512.8,39,,,,,,,,,,,,52926.4,598
A00000283,Credit,3472.2,29,,,,,,,,,,,,28071.7,987
A00000284,Credit,27302.0,22,,,,,,,,,,,,30722.9,531
A00000285,Credit,963318.2,91,,,,,,,,,,,,101148.6,1333
A00000286,Credit,848680.6,68,,,,,,,,,,,,34299.8,1009
A00000287,Credit,4968.2,59,,,,,,,,,,,,15347.4,1891
A00000288,Credit,4871.9,42,,,,,,,,,,,,25418.4,1384
A00000289,Credit,1093983.8,117,,,,,,,,,,,,47047.2,1750
A00000290,Credit,2104783.1,160,L00005032,123696.0,48.0,2577.0,A,2014.0,11.0,3.0,2014-11-03,70.0,home,37212.8,1855
A00000291,Credit,1343020.3,67,,,,,,,,,,,,81630.5,571
A00000292,Credit,1682.8,21,,,,,,,,,,,,20314.7,673
A00000293,Credit,253408.5,43,,,,,,,,,,,,13017.3,606
A00000294,Credit,405354.6,49,,,,,,,,,,,,67504.6,725
A00000295,Credit,306062.9,27,,,,,,,,,,,,30270.0,403
A00000296,Credit,17954.0,41,,,,,,,,,,,,14050.3,1051
A00000297,Credit,219692.19999999998,99,,,,,,,,,,,,61477.0,844
A00000298,Credit,185335.9,30,,,,,,,,,,,,30399.2,394
A00000299,Credit,2737627.0,181,,,,,,,,,,,,84369.7,2096
A00000300,Credit,9860.3,64,,,,,,,,,,,,73255.3,2017
A00000301,Credit,2761.8,36,,,,,,,,,,,,22140.3,1208
A00000302,Credit,3845.2,33,,,,,,,,,,,,17918.9,966
A00000303,Credit,509708.7,62,L00005034,112752.0,36.0,3132.0,C,2018.0,5.0,30.0,2018-05-30,70.0,home,42459.1,889
A00000304,Credit,3709.0,22,,,,,,,,,,,,23342.3,651
A00000305,Credit,1628.3,23,,,,,,,,,,,,16285.7,804
A00000306,Credit,444938.3,150,,,,,,,,,,,,32739.0,2032
A00000307,Credit,413142.9,35,,,,,,,,,,,,72167.5,511
A00000308,Credit,68181.1,29,,,,,,,,,,,,40581.1,1140
A00000309,Credit,428312.9,42,L00005036,91248.0,48.0,1901.0,C,2018.0,11.0,25.0,2018-11-25,70.0,home,24212.8,615
A00000311,Credit,310299.7,38,,,,,,,,,,,,65342.4,510
A00000312,Credit,488177.9,80,,,,,,,,,,,,60277.1,1093
A00000313,Credit,2675.4,31,,,,,,,,,,,,25456.0,908
A00000314,Credit,13035.300000000001,39,L00005039,66840.0,24.0,2785.0,C,2017.0,5.0,3.0,2017-05-03,70.0,home,25365.0,1070
A00000315,Credit,26200.0,7,,,,,,,,,,,,15000.0,360
A00000316,Credit,153014.2,69,,,,,,,,,,,,20665.8,602
A00000317,Credit,8024.2,71,,,,,,,,,,,,38695.3,2122
A00000318,Credit,358091.1,134,,,,,,,,,,,,36592.9,1567
A00000319,Credit,1722662.2,112,L00005041,369000.0,60.0,6150.0,C,2017.0,7.0,11.0,2017-07-11,70.0,home,78773.2,1171
A00000320,Credit,170723.6,86,,,,,,,,,,,,44231.6,707
A00000321,Credit,7046.5,59,,,,,,,,,,,,17965.6,1876
A00000322,Credit,1281995.6,144,,,,,,,,,,,,35336.1,2140
A00000323,Credit,1803.2,19,,,,,,,,,,,,19756.9,676
A00000324,Credit,2829.8,25,,,,,,,,,,,,38109.8,860
A00000325,Credit,2020.6,28,,,,,,,,,,,,19749.5,816
A00000326,Credit,2061.7,18,,,,,,,,,,,,18324.2,512
A00000327,Credit,1176794.2,143,,,,,,,,,,,,64597.3,2038
A00000328,Credit,1526.7,14,,,,,,,,,,,,13083.6,469
A00000329,Credit,685646.6,53,,,,,,,,,,,,75135.6,803
A00000330,Credit,620206.9,51,L00005042,331584.0,48.0,6908.0,C,2018.0,7.0,12.0,2018-07-12,70.0,home,26726.8,767
A00000331,Credit,4488.5,40,,,,,,,,,,,,15478.1,1186
A00000332,Credit,44803.3,56,,,,,,,,,,,,25840.1,1084
A00000333,Credit,2136.6,21,,,,,,,,,,,,20523.0,738
A00000334,Credit,1370570.4,138,,,,,,,,,,,,96801.0,2047
A00000335,Credit,4131.4,33,,,,,,,,,,,,29041.3,1076
A00000336,Credit,772981.7,78,,,,,,,,,,,,56022.1,1172
A00000337,Credit,1096384.5,82,,,,,,,,,,,,57320.0,1132
A00000338,Credit,20636.7,43,,,,,,,,,,,,17531.3,1139
A00000339,Credit,12385.199999999999,30,L00005043,468060.0,60.0,7801.0,C,2017.0,12.0,25.0,2017-12-25,70.0,home,97986.3,841
A00000340,Credit,7936.4,63,,,,,,,,,,,,39395.6,1884
A00000341,Credit,424293.2,52,,,,,,,,,,,,14301.1,772
A00000342,Credit,2672.0,23,,,,,,,,,,,,19929.3,809
A00000343,Credit,45838.1,76,,,,,,,,,,,,18456.6,1710
A00000344,Credit,949029.0,128,L00005044,100980.0,60.0,1683.0,C,2014.0,12.0,21.0,2014-12-21,70.0,home,56604.4,1856
A00000345,Credit,1129966.1,132,,,,,,,,,,,,82884.4,1867
A00000346,Credit,1556661.0,146,,,,,,,,,,,,51752.3,2180
A00000347,Credit,2000732.5,150,L00005045,187224.0,24.0,7801.0,B,2015.0,5.0,1.0,2015-05-01,70.0,home,55760.8,1844
A00000348,Credit,748372.3,76,,,,,,,,,,,,73104.9,1142
A00000349,Credit,179138.8,51,L00005046,42816.0,12.0,3568.0,C,2018.0,9.0,9.0,2018-09-09,70.0,debt_consolidation,16682.5,571
A00000350,Credit,2469.9,25,,,,,,,,,,,,22156.0,809
A00000351,Credit,179747.0,77,,,,,,,,,,,,18155.0,682
A00000352,Credit,4677.0,55,,,,,,,,,,,,19997.7,1641
A00000353,Credit,7708.0,37,,,,,,,,,,,,70291.0,1219
A00000354,Credit,810803.4,137,,,,,,,,,,,,82652.9,1890
A00000355,Credit,109119.2,59,,,,,,,,,,,,21764.3,1064
A00000356,Credit,674151.5,68,,,,,,,,,,,,75090.6,1024
A00000357,Credit,3392.9,30,,,,,,,,,,,,22670.9,1026
A00000358,Credit,23119.6,70,,,,,,,,,,,,20545.9,1848
A00000359,Credit,3600.2,45,,,,,,,,,,,,24504.2,1481
A00000360,Credit,830802.3,63,,,,,,,,,,,,55342.6,961
A00000361,Credit,1812934.7,142,,,,,,,,,,,,34971.3,2133
A00000362,Credit,826552.4,170,,,,,,,,,,,,61573.8,2097
A00000363,Credit,2385028.2,141,,,,,,,,,,,,103496.4,1700
A00000364,Credit,2844.8,20,,,,,,,,,,,,26879.9,710
A00000365,Credit,28764.899999999998,68,,,,,,,,,,,,22599.6,1845
A00000366,Credit,624069.8,54,,,,,,,,,,,,39123.2,799
A00000367,Credit,312462.3,42,,,,,,,,,,,,49839.2,601
A00000368,Credit,623118.6,145,,,,,,,,,,,,30878.8,2004
A00000370,Credit,5121.8,55,,,,,,,,,,,,20836.6,1777
A00000371,Credit,178639.7,77,,,,,,,,,,,,59239.0,881
A00000372,Credit,987043.4,83,,,,,,,,,,,,40829.1,1208
A00000373,Credit,379815.6,75,,,,,,,,,,,,52338.4,924
A00000374,Credit,37427.6,79,,,,,,,,,,,,45678.2,2182
A00000375,Credit,3566.7000000000003,32,,,,,,,,,,,,18388.8,937
A00000376,Credit,1234943.2,93,,,,,,,,,,,,68647.4,1397
A00000377,Credit,2217259.9,154,,,,,,,,,,,,104528.8,1595
A00000378,Credit,1982932.1,103,L00005051,230400.0,60.0,3840.0,C,2017.0,10.0,11.0,2017-10-11,70.0,home,38964.8,892
A00000379,Credit,21865.6,43,,,,,,,,,,,,13894.7,957
A00000381,Credit,612764.0,141,,,,,,,,,,,,49152.8,2006
A00000382,Credit,2982.7,25,,,,,,,,,,,,28102.1,867
A00000383,Credit,1550.0,17,,,,,,,,,,,,18171.6,595
A00000384,Credit,849588.0,47,,,,,,,,,,,,73665.8,473
A00000385,Credit,7339.7,70,,,,,,,,,,,,29217.2,2094
A00000386,Credit,337811.2,36,,,,,,,,,,,,80663.8,507
A00000387,Credit,363179.6,29,,,,,,,,,,,,43155.4,468
A00000388,Credit,616940.6,117,,,,,,,,,,,,99933.8,1419
