client_id,account_id,age,state,city,district_id,sex,balance_last,diff_date,trans_count,amount_loan,amount_credit,is_has_loan,is_has_card
C00000022,A00000017,30,NY,New York City,1,Female,97877.9,722,33,,255463.6,0,0
C00000023,A00000017,26,NY,New York City,1,Male,97877.9,722,33,,255463.6,0,0
C00000024,A00000018,60,DE,Wilmington,43,Female,81557.7,2045,156,,1905128.3,0,0
C00000025,A00000019,60,NE,Omaha,21,Female,10840.1,1364,107,30276.0,51387.6,1,0
C00000026,A00000020,30,IL,Chicago,74,Female,17692.2,859,25,,2080.3,0,0
C00000027,A00000021,33,TX,Houston,54,Female,53230.6,390,34,,175831.5,0,0
C00000028,A00000022,54,NY,New York City,1,Male,35740.0,1744,118,,1067603.3,0,0
C00000029,A00000023,48,ID,Boise,30,Female,83101.2,2049,137,,1639480.8,0,0
C00000030,A00000024,42,IL,Chicago,74,Female,21582.5,756,52,,354856.6,0,0
C00000031,A00000025,37,RI,Cranston,68,Male,30199.4,886,82,30276.0,1494372.1,1,0
C00000032,A00000026,19,CT,New Haven,52,Male,51771.4,1971,68,,12863.4,0,0
C00000033,A00000027,51,CT,New Britain,73,Female,32196.5,1922,135,,618575.3,0,0
C00000036,A00000029,21,CO,Denver,7,Female,37551.4,1498,100,,961743.3,0,0
C00000037,A00000029,29,CO,Denver,7,Male,37551.4,1498,100,,961743.3,0,0
C00000038,A00000030,26,RI,Providence,36,Female,44155.3,1397,130,,2302979.4,0,0
C00000039,A00000031,32,RI,Cranston,68,Male,13312.9,1678,164,,2910488.1,0,0
C00000040,A00000032,43,IN,Indianapolis,5,Female,89719.6,1221,82,,734330.7,0,0
C00000041,A00000033,31,VA,Virginia Beach,22,Male,112405.5,1953,131,,1672195.4,0,1
C00000042,A00000034,64,RI,Cranston,68,Male,50114.2,1931,64,,14984.5,0,1
C00000043,A00000035,79,NY,Rochester,75,Male,20742.1,2003,62,,5362.1,0,0
C00000044,A00000036,23,CT,Bridgeport,38,Female,79146.7,2009,134,,1436075.6,0,0
C00000045,A00000037,47,MO,Kansas City,20,Male,45904.5,500,36,318480.0,497029.2,1,0
C00000046,A00000038,60,GA,Atlanta,19,Female,44580.5,510,31,110736.0,52205.3,1,0
C00000047,A00000039,65,NY,Yonkers,76,Male,16315.4,1926,61,,7065.7,0,0
C00000048,A00000040,59,MD,Baltimore,16,Male,23704.0,1893,133,,464908.7,0,0
C00000049,A00000041,40,PA,Philadelphia,72,Female,100767.7,516,36,,327942.9,0,0
C00000050,A00000042,21,SC,Charleston,39,Female,25984.1,867,63,,310489.2,0,0
C00000051,A00000043,20,RI,Providence,36,Female,60766.5,1663,112,,1451226.7,0,1
C00000052,A00000044,75,AL,Birmingham,32,Male,23842.6,2061,64,,5230.2,0,0
C00000053,A00000045,22,AZ,Phoenix,64,Male,25878.4,485,41,,79639.3,0,0
C00000055,A00000047,51,WY,Cheyenne,45,Female,78755.0,1971,68,,20700.4,0,0
C00000056,A00000048,39,NE,Omaha,21,Male,70915.5,774,52,,634067.7,0,1
C00000057,A00000048,38,NE,Omaha,21,Female,70915.5,774,52,,634067.7,0,0
C00000058,A00000049,72,NY,New York City,1,Female,15310.5,634,22,,1502.2,0,0
C00000059,A00000050,42,NY,New York City,1,Male,86128.7,1700,117,,1001516.6,0,0
C00000060,A00000051,19,CT,Danbury,67,Male,98222.5,964,63,,710282.3,0,1
C00000061,A00000052,51,MD,Baltimore,16,Female,21159.8,701,25,,4681.6,0,0
C00000062,A00000053,67,NY,Syracuse,77,Male,15130.3,1303,44,,3713.0,0,0
C00000063,A00000054,40,NC,Charlotte,4,Male,26815.6,1339,45,,4271.2,0,0
C00000064,A00000055,73,MO,Kansas City,20,Male,20988.2,1046,31,,2479.7,0,0
C00000065,A00000056,56,NY,Buffalo,50,Female,57568.1,1690,118,,909738.4,0,0
C00000066,A00000057,48,NY,New York City,1,Female,63004.5,1320,87,,1009432.7,0,0
C00000067,A00000058,67,NJ,Newark,29,Female,11255.5,860,26,,1856.6,0,0
C00000068,A00000059,53,DE,Wilmington,43,Male,79811.4,1740,123,,941096.1,0,0
C00000070,A00000061,74,CA,Los Angeles,70,Male,18423.2,1846,57,,5356.4,0,0
C00000071,A00000061,72,CA,Los Angeles,70,Female,18423.2,1846,57,,5356.4,0,0
C00000072,A00000062,77,WV,Charleston,47,Male,16686.1,2104,66,,7305.1,0,0
C00000073,A00000063,75,VA,Virginia Beach,22,Male,32334.9,775,22,,2934.0,0,0
C00000074,A00000063,74,VA,Virginia Beach,22,Female,32334.9,775,22,,2934.0,0,0
C00000075,A00000064,22,AZ,Phoenix,64,Female,21730.1,630,30,,119829.8,0,0
C00000076,A00000065,32,RI,Providence,36,Female,56145.9,793,53,,706796.5,0,1
C00000077,A00000066,43,NY,New York City,1,Female,100252.6,1854,62,,16365.1,0,1
C00000078,A00000067,55,MD,Baltimore,16,Female,39709.5,1534,52,165960.0,17732.0,1,0
C00000079,A00000068,30,MS,Jackson,37,Female,97117.5,1472,50,,22355.5,0,1
C00000080,A00000069,20,AZ,Phoenix,64,Female,63471.3,1084,123,,282303.2,0,0
C00000081,A00000070,23,DC,Washington,8,Male,42423.1,1412,101,,478821.9,0,0
C00000082,A00000070,20,DC,Washington,8,Female,42423.1,1412,101,,478821.9,0,0
C00000083,A00000071,21,NY,New York City,1,Female,69570.4,1762,118,,1382682.7,0,1
C00000084,A00000071,20,NY,New York City,1,Male,69570.4,1762,118,,1382682.7,0,0
C00000085,A00000072,38,NY,New York City,1,Male,22336.3,924,92,,1654840.5,0,0
C00000086,A00000072,30,NY,New York City,1,Female,22336.3,924,92,,1654840.5,0,0
C00000087,A00000073,53,PA,Philadelphia,72,Female,61919.5,1879,128,,1313249.9,0,1
C00000089,A00000075,48,NY,New York City,1,Female,25295.4,1236,82,,555590.5,0,0
C00000090,A00000076,24,CT,New Haven,52,Male,19633.9,959,73,,299929.9,0,0
C00000091,A00000077,59,CT,Norwalk,63,Male,19338.7,772,27,,3667.7,0,0
C00000092,A00000078,33,IL,Chicago,74,Female,77935.4,2003,137,,1273705.9,0,0
C00000093,A00000079,74,OH,Columbus,3,Male,21902.0,762,22,,2271.9,0,0
C00000094,A00000080,52,DE,Wilmington,43,Male,27350.0,1191,36,,3782.7,0,0
C00000095,A00000080,47,DE,Wilmington,43,Female,27350.0,1191,36,,3782.7,0,0
C00000096,A00000081,27,IL,Chicago,74,Male,36443.8,896,45,,46317.200000000004,0,0
C00000097,A00000082,34,HI,Honolulu,26,Male,83928.8,1703,144,,2462375.7,0,0
C00000098,A00000083,26,UT,Salt Lake City,33,Female,33238.6,2085,147,,725598.3,0,0
C00000099,A00000083,27,UT,Salt Lake City,33,Male,33238.6,2085,147,,725598.3,0,0
C00000100,A00000084,57,ME,Portland,44,Female,104121.3,1102,93,,1239517.6,0,0
C00000101,A00000085,57,RI,Cranston,68,Male,52012.4,648,54,,181593.1,0,0
C00000102,A00000086,41,IL,Chicago,74,Female,21975.6,2125,71,,6424.8,0,0
C00000103,A00000086,44,IL,Chicago,74,Male,21975.6,2125,71,,6424.8,0,0
C00000105,A00000088,19,IA,Des Moines,31,Male,24428.0,911,31,,2461.3,0,0
C00000106,A00000089,31,RI,Cranston,68,Female,37919.9,462,33,,98565.9,0,0
C00000107,A00000090,27,NY,New York City,1,Male,24126.6,1632,110,,1431980.4,0,0
C00000108,A00000091,36,WI,Milwaukee,17,Male,-4187.6,754,42,,266448.1,0,0
C00000110,A00000093,32,FL,Jacksonville,2,Female,34008.9,915,66,,261388.5,0,0
C00000112,A00000095,65,NY,New York City,1,Male,80441.6,1372,92,,1182225.9,0,1
C00000113,A00000095,59,NY,New York City,1,Female,80441.6,1372,92,,1182225.9,0,0
C00000114,A00000096,30,IL,Chicago,74,Female,84861.0,2142,76,,56548.0,0,1
C00000115,A00000096,30,IL,Chicago,74,Male,84861.0,2142,76,,56548.0,0,0
C00000116,A00000097,58,IL,Chicago,74,Male,52583.8,970,67,102876.0,640920.2,1,1
C00000117,A00000097,63,IL,Chicago,74,Female,52583.8,970,67,102876.0,640920.2,1,0
C00000118,A00000098,77,MA,Lowell,55,Male,14443.9,608,21,,2282.0,0,0
C00000119,A00000098,77,MA,Lowell,55,Female,14443.9,608,21,,2282.0,0,0
C00000120,A00000099,23,NY,New York City,1,Male,2321.8,1252,93,,1258139.7,0,0
C00000121,A00000100,21,NH,Manchester,41,Female,74839.1,1829,145,,883214.5,0,0
C00000122,A00000101,36,SD,Sioux Falls,35,Female,73685.1,989,71,,676120.2,0,0
C00000123,A00000102,30,TN,Nashville,11,Male,49992.7,1902,118,,909034.0,0,0
C00000124,A00000103,32,ME,Portland,44,Male,37861.9,1026,84,265320.0,876387.2,1,0
C00000125,A00000104,63,MS,Jackson,37,Male,25637.8,2086,65,,5841.3,0,0
C00000126,A00000104,70,MS,Jackson,37,Female,25637.8,2086,65,,5841.3,0,0
C00000127,A00000105,49,NE,Omaha,21,Female,17221.3,539,30,352704.0,255490.69999999998,1,1
C00000128,A00000106,26,CT,Norwalk,63,Female,64941.3,1495,99,,959859.2,0,1
C00000129,A00000107,52,AZ,Phoenix,64,Female,44266.2,1882,152,,551131.0,0,0
C00000130,A00000108,57,CT,Hartford,53,Male,56976.3,1392,94,,794900.5,0,1
C00000131,A00000109,23,CT,Hartford,53,Female,41821.7,620,70,,122669.9,0,1
C00000132,A00000110,47,RI,Providence,36,Male,73880.9,897,61,162576.0,751639.3,1,1
C00000134,A00000112,68,WA,Seattle,6,Male,51810.0,2120,71,,7514.7,0,0
C00000135,A00000112,61,WA,Seattle,6,Female,51810.0,2120,71,,7514.7,0,0
C00000136,A00000113,79,MA,Lowell,55,Female,26350.9,892,26,,2658.5,0,0
C00000137,A00000114,76,MA,Lynn,60,Male,26099.7,657,18,,1990.3,0,0
C00000138,A00000115,27,TX,Houston,54,Female,33604.8,2113,158,,634589.6,0,1
C00000139,A00000116,40,DC,Washington,8,Female,72209.3,1015,68,,840019.4,0,0
C00000140,A00000116,38,DC,Washington,8,Male,72209.3,1015,68,,840019.4,0,0
C00000141,A00000117,74,IA,Des Moines,31,Male,16679.5,1943,65,,6249.2,0,0
C00000142,A00000118,62,RI,Cranston,68,Male,29483.7,469,22,,26909.8,0,0
C00000143,A00000119,21,TX,San Antonio,27,Male,57394.8,2046,135,,1583824.2,0,0
C00000144,A00000120,41,MA,Newton,65,Male,25835.8,1294,105,,1076825.9,0,0
C00000145,A00000121,21,MA,Lowell,55,Male,34955.3,446,24,,28416.7,0,0
C00000146,A00000122,38,IA,Des Moines,31,Female,56787.8,792,53,,650394.6,0,1
C00000147,A00000123,66,NE,Omaha,21,Female,23383.0,2119,66,,4741.2,0,0
C00000148,A00000123,59,NE,Omaha,21,Male,23383.0,2119,66,,4741.2,0,0
C00000149,A00000124,51,MA,Lowell,55,Male,13566.0,368,17,,15654.1,0,0
C00000150,A00000125,19,FL,Jacksonville,2,Female,64858.3,845,66,,983802.4,0,0
C00000151,A00000126,28,MA,Springfield,51,Female,50359.1,1895,140,,1608416.4,0,0
C00000152,A00000127,54,NJ,Newark,29,Female,17545.8,1793,60,,4118.6,0,0
C00000153,A00000128,18,OK,Oklahoma City,13,Female,74713.1,2141,208,,444791.7,0,1
C00000154,A00000129,66,IL,Chicago,74,Male,19863.3,456,16,,1899.4,0,0
C00000155,A00000129,60,IL,Chicago,74,Female,19863.3,456,16,,1899.4,0,0
C00000156,A00000130,69,TX,Houston,54,Female,29171.2,687,20,,2426.6,0,0
C00000157,A00000131,56,CT,New Haven,52,Female,36355.1,1297,90,,496062.2,0,0
C00000158,A00000132,54,ND,Fargo,40,Female,34556.6,964,79,88440.0,1285255.7,1,1
C00000159,A00000132,61,ND,Fargo,40,Male,34556.6,964,79,88440.0,1285255.7,1,0
C00000160,A00000133,57,AZ,Phoenix,64,Female,46582.3,446,44,,694287.3,0,0
C00000161,A00000134,56,AR,Little Rock,34,Female,45530.8,386,27,,140633.3,0,1
C00000162,A00000135,58,MA,Newton,65,Male,73702.7,2025,161,,408093.4,0,0
C00000163,A00000136,66,IL,Chicago,74,Male,27095.2,961,29,,3138.7,0,0
C00000164,A00000137,37,CA,Los Angeles,70,Female,49568.9,895,59,,736250.3,0,0
C00000165,A00000138,31,VA,Virginia Beach,22,Male,21200.0,1170,15,,37600.0,0,0
C00000166,A00000138,38,VA,Virginia Beach,22,Female,21200.0,1170,15,,37600.0,0,0
C00000167,A00000139,21,CT,Bridgeport,38,Female,54229.3,595,20,,5914.6,0,1
C00000168,A00000140,23,LA,New Orleans,24,Female,47564.1,919,42,,190393.4,0,0
C00000169,A00000141,46,CT,Bridgeport,38,Male,54877.8,1030,35,,6547.4,0,0
C00000170,A00000141,53,CT,Bridgeport,38,Female,54877.8,1030,35,,6547.4,0,0
C00000171,A00000142,70,MA,Springfield,51,Male,22244.3,2145,67,,6833.4,0,0
C00000172,A00000142,64,MA,Springfield,51,Female,22244.3,2145,67,,6833.4,0,0
C00000173,A00000143,81,NE,Omaha,21,Female,22772.9,764,22,,1976.9,0,0
C00000174,A00000144,21,MI,Detroit,10,Male,84474.9,637,53,,808867.2,0,1
C00000175,A00000145,39,IA,Des Moines,31,Male,62413.4,1093,94,,360546.5,0,0
C00000176,A00000146,70,NC,Charlotte,4,Male,38813.8,1946,65,,6598.8,0,0
C00000178,A00000148,39,DC,Washington,8,Male,27205.8,2019,63,,5111.1,0,0
C00000179,A00000149,19,DE,Wilmington,43,Male,53921.8,410,44,,88417.9,0,0
C00000180,A00000150,18,CT,New Britain,73,Male,19767.4,1386,130,,282080.8,0,0
C00000181,A00000151,32,NY,Yonkers,76,Male,24334.3,1942,147,,373456.0,0,0
C00000182,A00000151,40,NY,Yonkers,76,Female,24334.3,1942,147,,373456.0,0,0
C00000183,A00000152,21,NY,New York City,1,Female,18634.1,993,76,,210060.4,0,0
C00000184,A00000152,27,NY,New York City,1,Male,18634.1,993,76,,210060.4,0,0
C00000185,A00000153,45,NY,Syracuse,77,Male,22687.7,1929,66,,14450.4,0,0
C00000186,A00000154,38,CA,San Diego,46,Female,92359.8,1654,111,,843234.7,0,0
C00000187,A00000155,57,MA,Brockton,58,Male,19865.1,1150,95,,241991.1,0,0
C00000188,A00000156,39,AZ,Phoenix,64,Male,16314.9,435,11,,1632.6,0,0
C00000189,A00000157,80,TN,Nashville,11,Male,33957.1,643,19,,1910.0,0,0
C00000190,A00000158,52,MS,Jackson,37,Female,17265.4,1387,91,,1211329.8,0,0
C00000191,A00000158,45,MS,Jackson,37,Male,17265.4,1387,91,,1211329.8,0,0
C00000192,A00000159,28,CA,Los Angeles,70,Male,94729.9,688,46,,537470.3,0,1
C00000193,A00000160,37,NY,New York City,1,Male,48937.5,1944,152,,948345.1,0,0
C00000194,A00000161,75,AK,Anchorage,28,Female,14836.9,1641,55,,5267.9,0,0
C00000195,A00000162,80,IL,Chicago,74,Male,21628.6,1954,61,,6508.4,0,0
C00000196,A00000162,72,IL,Chicago,74,Female,21628.6,1954,61,,6508.4,0,0
C00000197,A00000163,66,ID,Boise,30,Male,37538.9,2164,70,,8471.1,0,0
C00000198,A00000164,23,MA,Lynn,60,Male,32852.3,810,32,,157152.5,0,0
C00000199,A00000165,76,NJ,Newark,29,Male,61584.7,2039,68,,10038.3,0,0
C00000200,A00000165,72,NJ,Newark,29,Female,61584.7,2039,68,,10038.3,0,0
C00000201,A00000166,69,WI,Milwaukee,17,Female,21661.5,863,25,,3155.4,0,0
C00000202,A00000167,23,NJ,Newark,29,Female,49339.2,1039,83,,1402463.3,0,1
C00000203,A00000168,37,IA,Des Moines,31,Male,15781.7,2074,65,,4973.6,0,0
C00000204,A00000168,32,IA,Des Moines,31,Female,15781.7,2074,65,,4973.6,0,0
C00000205,A00000169,57,NC,Charlotte,4,Female,67185.0,1190,82,,560931.7,0,0
C00000206,A00000170,36,MA,Quincy,59,Female,56110.2,912,62,,568675.2,0,0
C00000207,A00000171,67,CA,San Diego,46,Male,15593.7,936,32,,2752.7,0,0
C00000208,A00000172,59,OK,Oklahoma City,13,Female,64714.5,1949,131,,1573896.4,0,1
C00000209,A00000172,64,OK,Oklahoma City,13,Male,64714.5,1949,131,,1573896.4,0,0
C00000210,A00000173,60,RI,Warwick,66,Male,64005.1,1861,156,104808.0,1322727.1,1,0
C00000211,A00000173,54,RI,Warwick,66,Female,64005.1,1861,156,104808.0,1322727.1,1,0
C00000212,A00000174,24,CT,New Haven,52,Male,20982.2,848,29,,2619.0,0,0
C00000215,A00000176,32,MA,Somerville,71,Male,71821.5,871,82,27456.0,1481270.6,1,0
C00000216,A00000177,40,NY,New York City,1,Male,62371.1,461,32,,325517.2,0,0
C00000217,A00000178,25,MA,Quincy,59,Female,18081.7,481,17,,1763.6,0,0
C00000218,A00000179,20,NY,New York City,1,Female,44248.3,465,38,,643319.3,0,0
C00000219,A00000180,35,MA,Lynn,60,Female,64308.6,1843,73,,125092.7,0,1
C00000221,A00000181,22,NE,Omaha,21,Female,32491.8,933,65,,371136.7,0,1
C00000222,A00000182,27,WV,Charleston,47,Female,10000.0,510,6,,19700.0,0,0
C00000223,A00000183,47,DE,Wilmington,43,Female,45614.3,1845,125,,970741.6,0,0
C00000224,A00000184,44,NY,Syracuse,77,Male,67050.3,1044,70,,736773.8,0,0
C00000225,A00000185,63,AL,Birmingham,32,Male,65609.0,545,37,,379962.7,0,1
C00000226,A00000186,57,NY,New York City,1,Male,74437.6,1981,172,,2603771.8,0,0
C00000227,A00000187,73,CT,New Haven,52,Female,25228.1,2104,66,,5071.7,0,0
C00000228,A00000188,43,MA,Worcester,48,Female,100009.6,2081,139,,1458587.7,0,0
C00000229,A00000189,30,NY,Yonkers,76,Male,71269.3,624,42,,467112.4,0,0
C00000230,A00000190,32,IL,Chicago,74,Female,69474.4,1400,97,,897883.5,0,0
C00000231,A00000191,58,NH,Manchester,41,Male,93241.7,654,22,,5588.4,0,1
C00000232,A00000192,78,MA,Lowell,55,Female,29946.5,2183,68,,7262.1,0,0
C00000233,A00000193,41,MA,Lawrence,69,Female,25203.7,739,52,,290761.2,0,0
C00000234,A00000193,44,MA,Lawrence,69,Male,25203.7,739,52,,290761.2,0,0
C00000235,A00000194,56,ME,Portland,44,Female,23031.9,882,43,,40865.4,0,0
C00000236,A00000195,38,CA,Los Angeles,70,Male,49425.2,672,46,,357993.3,0,1
C00000237,A00000195,30,CA,Los Angeles,70,Female,49425.2,672,46,,357993.3,0,0
C00000238,A00000196,38,WA,Seattle,6,Female,73932.7,1873,137,,917861.7,0,1
C00000239,A00000197,25,NY,New York City,1,Female,52072.5,2135,144,,1666326.2,0,0
C00000240,A00000198,70,AR,Little Rock,34,Female,22504.4,1893,59,,6141.1,0,0
C00000241,A00000199,41,CA,Los Angeles,70,Male,26869.7,796,23,,2632.2,0,0
C00000242,A00000200,38,WI,Milwaukee,17,Female,98905.5,1642,114,,570721.2,0,1
C00000243,A00000201,45,CT,Norwalk,63,Male,43995.2,1520,104,,879616.6,0,0
C00000246,A00000204,29,CT,Danbury,67,Female,25127.7,1083,32,,2836.2,0,0
C00000247,A00000205,42,NY,New York City,1,Male,45267.0,449,37,,133663.1,0,0
C00000248,A00000206,30,MA,Fall River,61,Female,35408.0,1363,119,,295752.2,0,0
C00000249,A00000206,29,MA,Fall River,61,Male,35408.0,1363,119,,295752.2,0,0
C00000250,A00000207,20,DC,Washington,8,Female,26092.2,1985,155,,422618.5,0,0
C00000251,A00000208,23,TX,Houston,54,Female,19740.1,1009,71,,551438.1,0,0
C00000252,A00000209,30,MS,Jackson,37,Female,45680.6,767,40,,44450.6,0,0
C00000253,A00000210,52,MA,Worcester,48,Female,30197.9,1019,69,,613838.9,0,0
C00000254,A00000211,36,AK,Anchorage,28,Male,68537.4,530,46,,742148.0,0,1
C00000255,A00000212,48,TX,San Antonio,27,Female,95412.1,2171,75,,38827.4,0,1
C00000256,A00000213,36,CT,New Britain,73,Female,36591.6,1220,81,,1064402.8,0,1
C00000257,A00000214,57,VA,Virginia Beach,22,Female,15033.0,662,18,,1429.6,0,0
C00000258,A00000214,62,VA,Virginia Beach,22,Male,15033.0,662,18,,1429.6,0,0
C00000259,A00000215,33,IA,Des Moines,31,Male,15083.9,401,10,,1533.6,0,0
C00000260,A00000215,37,IA,Des Moines,31,Female,15083.9,401,10,,1533.6,0,0
C00000261,A00000216,62,CT,Bridgeport,38,Female,20686.5,1690,53,,6149.7,0,0
C00000262,A00000217,54,NY,Syracuse,77,Male,24285.4,1441,97,,575776.9,0,0
C00000263,A00000218,37,RI,Cranston,68,Male,25468.7,1059,104,,1822782.4,0,0
C00000264,A00000219,21,AK,Anchorage,28,Male,47647.0,1212,80,,767863.6,0,1
C00000265,A00000220,67,PA,Philadelphia,72,Female,28520.4,2092,65,,5482.7,0,0
C00000266,A00000221,32,GA,Atlanta,19,Female,58513.9,792,54,,617632.7,0,0
C00000267,A00000222,32,MS,Jackson,37,Male,59952.5,2117,71,,17085.9,0,1
C00000268,A00000223,17,SC,Charleston,39,Female,24979.7,1297,64,,326757.3,0,1
C00000269,A00000224,76,KY,Louisville,15,Female,19354.2,795,24,,2761.0,0,0
C00000270,A00000225,52,CA,San Diego,46,Male,92940.2,1982,179,,563498.6,0,0
C00000271,A00000225,54,CA,San Diego,46,Female,92940.2,1982,179,,563498.6,0,0
C00000272,A00000226,55,CA,Los Angeles,70,Female,44471.3,676,55,109344.0,488795.7,1,1
C00000273,A00000227,27,TX,San Antonio,27,Female,85194.5,1374,46,,10205.8,0,1
C00000274,A00000228,29,WI,Milwaukee,17,Female,65982.6,1920,129,,1491920.1,0,0
C00000275,A00000229,81,NY,New York City,1,Female,24212.4,572,20,,2493.9,0,0
C00000276,A00000230,42,NY,New York City,1,Male,11813.2,1039,70,,655356.5,0,0
C00000277,A00000230,38,NY,New York City,1,Female,11813.2,1039,70,,655356.5,0,0
C00000278,A00000231,27,VA,Virginia Beach,22,Female,17145.6,1368,46,,3742.8,0,0
C00000279,A00000231,29,VA,Virginia Beach,22,Male,17145.6,1368,46,,3742.8,0,0
C00000280,A00000232,30,WY,Cheyenne,45,Female,81752.8,397,28,,330633.7,0,1
C00000282,A00000234,61,CT,New Britain,73,Female,15951.3,1995,62,,4957.5,0,0
C00000283,A00000234,66,CT,New Britain,73,Male,15951.3,1995,62,,4957.5,0,0
C00000284,A00000235,25,MI,Detroit,10,Male,16332.7,1912,64,,6041.7,0,0
C00000285,A00000236,45,PA,Philadelphia,72,Male,13000.0,990,11,,39700.0,0,0
C00000286,A00000236,47,PA,Philadelphia,72,Female,13000.0,990,11,,39700.0,0,0
C00000287,A00000237,19,NY,Buffalo,50,Male,14668.1,1742,54,,4097.7,0,0
C00000288,A00000238,37,WA,Seattle,6,Male,18987.6,1964,61,,4781.6,0,0
C00000289,A00000239,41,TX,Houston,54,Male,34974.3,2131,184,,2530556.8,0,0
C00000290,A00000240,41,PA,Philadelphia,72,Male,17632.6,612,42,,500447.8,0,0
C00000291,A00000240,44,PA,Philadelphia,72,Female,17632.6,612,42,,500447.8,0,0
C00000292,A00000241,41,KY,Louisville,15,Female,39908.8,823,42,,42974.2,0,0
C00000293,A00000242,56,MA,Lawrence,69,Male,53110.5,854,58,,717800.3,0,0
C00000294,A00000243,31,MA,Brockton,58,Male,15153.4,1864,154,,2470282.0,0,0
C00000295,A00000244,60,OR,Portland,12,Male,52094.5,2152,105,,93762.0,0,1
C00000296,A00000245,25,MA,Newton,65,Male,44669.0,1862,148,,1617425.2,0,0
C00000297,A00000246,75,MA,Newton,65,Female,17211.7,376,11,,1232.1,0,0
C00000298,A00000246,78,MA,Newton,65,Male,17211.7,376,11,,1232.1,0,0
C00000300,A00000248,42,NY,New York City,1,Female,35332.8,1369,46,,7585.7,0,0
C00000301,A00000249,58,AK,Anchorage,28,Male,19939.5,758,52,,489385.8,0,0
C00000302,A00000250,28,MA,Cambridge,56,Male,48645.7,600,46,,149540.1,0,0
C00000303,A00000251,53,IL,Chicago,74,Male,35458.3,999,74,,363538.1,0,0
C00000304,A00000252,65,GA,Atlanta,19,Female,50468.1,735,21,,4183.6,0,0
C00000305,A00000253,61,CA,San Diego,46,Male,106814.9,1122,75,,913983.9,0,1
C00000308,A00000255,23,RI,Cranston,68,Female,101533.5,788,27,,7671.5,0,0
C00000309,A00000256,30,MS,Jackson,37,Female,17041.3,1327,87,,900496.3,0,1
C00000310,A00000257,49,TN,Nashville,11,Male,8843.6,1133,83,,819586.7,0,0
C00000311,A00000258,69,AZ,Phoenix,64,Female,24649.3,540,19,,2701.1,0,0
C00000312,A00000259,75,FL,Jacksonville,2,Male,15943.8,1890,60,,5772.7,0,0
C00000313,A00000260,57,LA,New Orleans,24,Female,40815.8,1174,92,,424055.6,0,0
C00000314,A00000260,54,LA,New Orleans,24,Male,40815.8,1174,92,,424055.6,0,0
C00000315,A00000261,32,TX,Houston,54,Male,21485.4,815,30,,13476.4,0,0
C00000316,A00000262,44,NY,Rochester,75,Male,22600.0,1020,11,,40900.0,0,0
C00000317,A00000263,42,AZ,Phoenix,64,Female,50906.8,727,65,,860922.0,0,0
C00000318,A00000264,56,KY,Louisville,15,Female,35403.6,1056,92,,265871.5,0,0
C00000319,A00000265,70,GA,Atlanta,19,Female,20758.0,909,31,,2653.1,0,0
C00000320,A00000265,65,GA,Atlanta,19,Male,20758.0,909,31,,2653.1,0,0
C00000321,A00000266,56,WV,Charleston,47,Female,75022.5,1695,58,,18321.2,0,1
C00000322,A00000267,67,CT,Bridgeport,38,Male,16940.3,1345,41,,3612.0,0,0
C00000323,A00000267,61,CT,Bridgeport,38,Female,16940.3,1345,41,,3612.0,0,0
C00000324,A00000268,39,OH,Columbus,3,Male,37866.1,946,65,,901150.8,0,0
